id,symbol,event title,type of event,start date,end date,exact location,location coordinate x,location coordinate y,location Region,summary text,main agency,main actor,secondary actor,Diazoma meetings flagged,source link,Image 01,Image 02,Image 03
,,,Political event,21/04/1967,23/07/1974,,,,Greece,Military coup and imposition of a dictatorship,,,,,,,,
,,17th NOV,Political event,14/11/1973,17/11/1973,Athens,,,Greece,Polytechnic Uprising – Mass nationwide anti-dictatorship protests,,,,,,,,
,,,Political event,23/07/1974,23/07/1974,Athens,,,Greece,Fall of the military dictatorship,,,,,,,,
,,FEK 289A,Legislation changes regarding Forestry,29/12/1979,29/12/1979,Athens,,,Greece,National Forest cadastre was established by Law 998,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,FEK 208A,Legislation changes regarding Forestry,6/8/1981,6/8/1981,Athens,,,Greece,Presidential Decree regarding the creation of forest cooperatives,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,Political event,19/06/2000,19/06/2000,Athens,,,Attica,Greece joins the eurozone,Greek central government,Prime Minister,,,,,,
,,ATTICA,Active Fire,23/07/2018,23/07/2018,Neos Voutzas,,,Attica,,Fire Department,,,,,,,
,,ATTICA,Active Fire,23/07/2018,23/07/2018,Kineta,,,Attica,,Fire Department,,,,,,,
,,KYTHERA,Active Fire,4/8/2017,7/8/2017,Kythera,,,Kythera,"Between 2,000 and 3,750 hectares of forest and farmland were burnt. It affected more than a fifth, and possibly up to a third, of the island’s vegetation, leading to a state of emergency. Gale-force winds made the fire harder to contain.",Fire Department,,,,,,,
,,,Political event,23/04/2009,23/04/2009,,,,,"Prime Minister George Papandreou's announcement  from Kastelorizo,officially requesting the activation of a joint European Union (EU) and International Monetary Fund (IMF) financial bailout package.",Greek central government,Prime Minister,,,,,,
,,General strike,Announcement / Meetings / Events / Demonstrations by civil society,5/5/2010,5/5/2010,Athens,,,Attica,General strike and massive protest in Athens on the eve of the vote on the 1st Memorandum in Parliament; three Marfin Bank employees are killed in an arson attack on the Stadiou Street branch. ,,,,,,,,
,,,Legislation changes,6/5/2010,6/5/2010,Athens,,,Attica,The 1st Memorandum is voted by 157 members of the Greek Parliament,Greek central government,Prime Minister,,,,,,
,,,Legislation changes,12/12/2012,12/12/2012,Athens,,,Attica,The second and harshest bailout memorandum is approved by 199 members of Parliament.,Greek central government,Prime Minister,,,,,,
,,,Legislation changes,7/11/2013,7/11/2013,Athens,,,Attica,The 2013-2016 medium term program is approved with 153 votes,Greek central government,Prime Minister,,,,,,
,,,Event,29/06/2015,29/06/2015,,,,Greece,Capital controls were imposed and current support programme expires a few days later,Greek central government,Prime Minister,,,,,,
,,Referendum,Political event,5/7/2015,5/7/2015,,,,Greece,Bailout referendum,Greek central government,Prime Minister,,,,,,
,,,Legislation changes,14/08/2015,14/08/2015,Athens,Attica,,Attica,The third bailout memorandum is approved by the parliament with 222 votes.,Greek central government,Prime Minister,,,,,,
,,,Political event,21/08/2018,21/08/2018,Athens,Attica,,Attica,Greece's official exit from the bailout memorandum.,,,,,,,,
,,FEK 1366Β,Legislation changes regarding Forestry,21/04/2017,21/04/2017,Athens,Attica,,Attica,Ratification of Forest Maps,Greek central government,,,,,,,
,,,Announcement / Meeting / Event by the greek government,18/08/2021,18/08/2021,Athens,,,Attica,"Meeting at Maximou
Presentation of immediate and long-term mesures",Greek central government,Prime Minister,,,,,,
,,NORTH EVIA,Active Fire,3/8/2021,13/08/2021,Mutiple Locations,,,North Evia,,"Fire Department, Fire Department, Ministry of Civil Protection",,,,,,,
,,,Fire (between suppression of the main fronts and full suppression),14/08/2021,18/09/2021,Mutiple Locations,,,North Evia,,"Fire Department, Ministry of Civil Protection",,,,,,,
,,,Event,18/09/2021,18/09/2021,Mutiple Locations,,,North Evia,Full suppression of the fire fronts announced by the fire brigade,Fire Department,,,,,,,
,,,Announcement / Meeting / Event  by local municipalities,7/9/2021,7/9/2021,Limni,,,North Evia,Meeting of Stavros Benos with mayors of N. Evia and regional governor,"Local Municipality of Istiaia, Aidipsos, Local Municipality of Limni, Mantoudi, Agia Anna, Diazoma, Regional Government of Sterea Ellada",S. Benos,,,,,,
,,,Announcement / Meetings / Events / Demonstrations by civil society,21/08/2021,21/08/2021,Strofilia,,,North Evia,"Demonstration organised by the Union of Resin collectors in N. Evia, Rural association of Mantoudi, Initiative of citizens affected by the fire","Rural association of Mantoudi, Initiative of citizens affected by the fire, Union of Resin collectors in N. Evia",,,,,,,
,,ATTICA,Active Fire,3/8/2021,7/8/2021,Acharnes,,,Attica,,"Fire Department, Ministry of Civil Protection",,,,,,,
,,ATTICA,Active Fire,5/8/2021,7/8/2021,Afidnes,,,Attica,,"Fire Department, Ministry of Civil Protection",,,,,,,
,,PELOPONESE,Active Fire,4/8/2021,11/8/2021,Ancient Olympia,,,Peloponese,,"Fire Department, Ministry of Civil Protection",,,,,,,
,,ATTICA,Active Fire,16/08/2021,16/08/2021,Mandra,,,Attica,,"Fire Department, Ministry of Civil Protection",,,,,,,
,,Press conference ,Announcement / Meeting / Event by the greek government,10/8/2021,10/8/2021,Athens,,,Attica,"During the press conference, Prime Minister Kuriakos Mitsotakis directly assigned the regeneration programme for N.Evia to S.Benos and the private comitttee of Diazoma",Greek central government,Prime Minister,S. Benos,,,,,
,,Donation grant announcement,Announcement / Meeting / Event  by private actors,12/8/2021,12/8/2021,Athens,,,Attica,Stavros Niarchos foundation announced 15 million donation grant for the immediate relief of those affected by this year’s fires,"Greek central government, Stravros Niarchos Foundation",,,,,,,
,,ATHINA',Flood,9/10/2021,12/10/2021,Mutiple Locations,,,North Evia,floodings..,,,,,,,,
,,1st bulletin 'KNOUKLA',Announcement / Meetings / Events / Demonstrations by civil society,2/10/2021,2/10/2021,Mutiple Locations,,,North Evia,1st Information bulletin is published by the Initiative of citizens affected by the fire in N. Evia,Initiative of citizens affected by the fire,,,,,,,
,,2nd bulletin 'KNOUKLA',Announcement / Meetings / Events / Demonstrations by civil society,14/10/2021,14/10/2021,Mutiple Locations,,,North Evia,"2ne Information bulletin is published by the Initiative of citizens affected by the fire in N. Evia, with analysis of the current situation and a list of their demands and needs.",Initiative of citizens affected by the fire,,,,,,,
,,FEK 143A,Legislation changes,13/08/2021,13/08/2021,Athens,,,Attica,"_Trasfer of Forestry Services from the Decentralised Administrations to the Ministry of Environment & Energy
_Introduction of Online Platform arogi.gov.gr for the provision of state relief funds from wildfires","Ministry of Environment & Energy, Ministry of Civil Protection, Forestry Service",,,,,,,
,,,Event,27/08/2021,27/08/2021,Istiaia,,,North Evia,"License is revoked by the Regulatory Energy Authority (RAE)
for electricity generation via wind farm at Telethrio Mountain in Northern Evia",Regulatory Energy Authority (RAE),,,,,,,
,,,Event,15/06/2021,15/06/2021,Istiaia,,,North Evia,License is granted by the Regulatory Energy Authority (RAE)for electricity generation via wind farm at Telethrio Mountain in Northern,Regulatory Energy Authority (RAE),,,,,,,
,,,,,,,,,,,,,,,,,,
,,Demonstration ,Announcement / Meetings / Events / Demonstrations by civil society,6/11/2021,6/11/2021,Athens,,,Attica,"Protest organised by the Initiative in N. Evia against the imposition of the Diazoma committee. ''While the forest is burning, instead of fire trucks, they sent us Benos''",Initiative of citizens affected by the fire,,,,,,,
,,,Contracts signed between private actors,20/10/2021,2/12/2021,Athens,,,Attica,"Period during which the contracts between the private committee 'Diazoma', the sponsors and the consultant agencies that were to be involved in the design of the 'Evia Meta' regeneration masterplan where signed",Diazoma,S. Benos,,,,,,
,,,Announcement / Meeting / Event  by local municipalities,28/10/2021,30/10/2021,Istiaia,,,North Evia,Tour of artistic groups within the area in solidarity of the local residents through cultural events,Initiative of citizens affected by the fire,,,,,,,
,,Official meeting,Announcement / Meeting / Event by the greek government,11/12/2021,11/12/2021,Athens,,,Attica,"1st Meeting_Presentation of time schedule for the preparation of the 14 studies of the Masterplan for North Evia : 'Evia Meta'.  Prime Minister Mitsotakis emphasized, a ""very specific and structured plan for the total reconstruction of northern Evia"" , which ""will constitute the model for a new way of understanding holistic development, using the institution of integrated spatial investments, so that all the initiatives we undertake are part of a specific plan that can leverage the comparative advantages of each region, and first and foremost give hope to the people who were tested in northern Evia that it is worth remaining in their place and that their children will have a better future than them"".","Diazoma, Greek central government",Prime Minister,S. Benos,1,,,,
,,,Announcement / Meetings / Events / Demonstrations by civil society,5/12/2021,5/12/2021,Athens,,,Attica,Protest organised in Athens by the Union of the Temporary employees of the Fire Department is met with violence by MAT police,Union of the Temporary employees of the Fire Department,,,,,,,
,,Open Meeting,Announcement / Meeting / Event  by local municipalities,14/12/2021,15/12/2021,Istiaia,,,North Evia,"Meeting of DIAZOMA with mayors of the local municipalities of Limni, Mantoudi, Agia Anna & Istiaia, Aidipsos and local citizens","Diazoma, Local Municipality of Limni, Mantoudi, Agia Anna, Local Municipality of Istiaia, Aidipsos",S. Benos,"Mayor of Limni, Mantoudi, Agia Anna",2,,,,
,,Announcement,Announcement / Meeting / Event by the greek government,10/11/2021,10/11/2021,Athens,,,Attica,Christos Triantopoullos announcedt of 20mil. For the relief of floodings in Evia,Greek central government,Christos Trantopoulos,,,,,,
,,EVROS,Active Fire,19/08/2023,4/9/2023,Forest of Dadia,,,Evros,,"Fire Department, Ministry of Civil Protection",,,,,,,
,,RHODES,Active Fire,18/07/2023,28/07/2023,Rhodes,,,Rhodes,,"Fire Department, Ministry of Civil Protection",,,,,,,
,,,Legislation changes,16/01/2023,16/01/2023,Athens,,,Attica,Creation of the committee responsible for Issues of State Relief and Rehabilitation from Natural Disasters ,Greek central government,Prime Minister,Christos Trantopoulos,,,,,
,,,Announcement / Meeting / Event by the greek government,16/01/2023,16/01/2023,Athens,,,Attica,Press Release: “A Composition of Dreams”. Official submission of the Masterplan 'Evia Meta' and the strategic studies for North Evia to the Prime Minister. 71 projects and actions with a budget of €400 million,Greek central government,Prime Minister,S. Benos,,,,,
,,,Event,29/01/2026,29/01/2026,Chalkida,,,North Evia,Decision of the district attorney that no one should be held responsible for the wildfires in N. Evia 2021.,Judiciary,Public Prosecutor of Chalkida,,,https://expressevia.com/2026/01/%CE%B7-%CE%B4%CE%B9%CE%BA%CE%B1%CE%B9%CE%BF%CF%83%CF%8D%CE%BD%CE%B7-%CE%B2%CE%AC%CE%B6%CE%B5%CE%B9-%CF%83%CF%84%CE%BF-%CE%B1%CF%81%CF%87%CE%B5%CE%AF%CE%BF-%CF%84%CE%B7%CE%BD-%CF%85%CF%80%CF%8C%CE%B8/,,,
,,,,18/10/2023,18/10/2023,Athens,,,Attica,"Declaration of the procedure for the selection of the contractors for the execution of the 
National Reforestation Plan of total estimated value €55.725.805,55 ",Greek central government,,,,,,,
,,FEK 63A,Legislation changes regarding Forestry,5/1/2024,5/1/2024,Athens,,,Attica,Law 5106: Introduction of Hybrid Co-operative schemes for the management of biomass within public forests.,"Greek central government, Ministry of Environment & Energy",,,,,,,
,,FEK 873D,Legislation changes regarding Forestry,24/11/2022,24/11/2022,Athens,,,Attica,Approval of the Forest Maps of Evia,"Greek central government, Ministry of Environment & Energy, Forestry Service",,,,,,,
